"","id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durShoolSite","durSchoolOnline","durStudy","MRW_20","MRW_30","MRW_40","worked12m","workedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone","province_char","maritalStat_char","eduLevel_char","isFeelRushed"
"1",10000,5,1,5,46,1,3,1,1,510,60,120,770,90,0,0,0,0,NA,1,1,1,2,NA,8,2,2,2,2,"MB","Divorced","Trade certificate or diploma",1
"2",10001,5,1,1,59,1,4,3,4,420,150,0,0,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2,"BC","Married","College, CEGEP, or other non-university certificate or dimploma",1
"3",10002,4,2,1,47,1,5,1,6,570,0,0,630,30,480,0,0,0,NA,NA,NA,1,1,NA,7,2,1,1,1,"SK","Married","University certificate or dimploma below the bachelor's level",1
"4",10003,6,2,5,35,1,4,2,4,510,10,45,875,80,20,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"ON","Divorced","College, CEGEP, or other non-university certificate or dimploma",1
"5",10004,2,1,6,35,1,NA,1,3,525,90,40,815,0,0,0,0,0,NA,NA,NA,2,2,NA,1,2,2,2,2,"ON","Single, never married",NA,1
"6",10005,1,1,6,35,1,1,1,6,435,0,0,430,40,530,0,0,0,NA,NA,NA,1,1,NA,2,2,1,1,2,"ON","Single, never married","Less than high school dimploma or its equivalent",1
"7",10006,1,1,6,35,1,1,4,2,635,60,50,650,0,0,0,0,0,NA,2,1,1,2,NA,3,NA,2,2,2,"ON","Single, never married","Less than high school dimploma or its equivalent",0
"8",10007,5,2,3,59,1,4,5,3,440,30,160,1200,60,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2,"BC","Widowed","College, CEGEP, or other non-university certificate or dimploma",0
"9",10008,2,2,1,24,2,6,2,3,525,40,70,30,5,410,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"QC","Married","Bachelor's degree",1
"10",10009,6,1,3,46,1,3,6,2,540,20,120,1060,70,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"MB","Widowed","Trade certificate or diploma",0
"11",10010,3,2,1,11,3,6,2,4,480,50,20,10,10,441,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"PEI","Married","Bachelor's degree",1
"12",10011,2,2,6,35,1,3,1,6,630,60,20,235,65,475,0,0,0,NA,NA,NA,1,1,NA,2,1,2,1,2,"ON","Single, never married","Trade certificate or diploma",1
"13",10012,2,2,1,35,2,7,1,2,390,0,50,90,90,480,0,0,0,NA,NA,NA,1,1,NA,2,2,2,1,2,"ON","Married","University certificate, diploma, degree above the BA level",1
"14",10013,3,1,1,24,1,6,4,6,510,0,20,200,90,0,0,0,0,2,1,2,2,2,2,1,2,1,2,2,"QC","Married","Bachelor's degree",0
"15",10014,2,2,1,35,1,4,2,6,500,75,45,270,150,0,0,0,0,NA,2,1,1,2,NA,2,2,2,2,1,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
"16",10015,5,1,3,48,1,7,1,3,570,0,15,825,15,615,0,0,0,NA,NA,NA,1,1,NA,2,2,2,2,2,"AB","Widowed","University certificate, diploma, degree above the BA level",1
"17",10016,7,1,1,46,2,7,6,6,660,60,0,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"MB","Married","University certificate, diploma, degree above the BA level",0
"18",10017,4,1,1,35,1,6,2,4,480,60,120,180,45,0,0,0,0,NA,NA,NA,1,1,NA,1,1,2,1,2,"ON","Married","Bachelor's degree",1
"19",10018,6,2,1,12,2,1,3,6,510,15,35,740,330,0,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,2,"NS","Married","Less than high school dimploma or its equivalent",1
"20",10019,2,1,1,59,1,2,2,5,480,30,30,630,30,600,0,0,0,NA,NA,NA,1,1,NA,4,1,2,2,2,"BC","Married","High school diploma or equivalency",1
"21",10020,7,2,3,59,1,1,3,6,360,10,90,615,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"BC","Widowed","Less than high school dimploma or its equivalent",1
"22",10021,5,2,1,12,1,6,6,1,660,0,50,640,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2,"NS","Married","Bachelor's degree",0
"23",10022,3,1,2,35,1,5,3,5,480,30,45,1425,230,315,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"ON","Living common-law","University certificate or dimploma below the bachelor's level",1
"24",10023,6,2,1,46,1,1,3,2,330,0,60,255,0,0,0,0,0,NA,2,2,2,2,NA,1,2,1,2,2,"MB","Married","Less than high school dimploma or its equivalent",1
"25",10024,4,2,6,59,1,4,1,6,545,15,90,770,100,0,0,0,0,NA,1,1,1,2,NA,8,2,2,1,1,"BC","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
"26",10025,2,1,6,24,1,4,4,6,660,240,60,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,7,2,2,2,2,"QC","Single, never married","College, CEGEP, or other non-university certificate or dimploma",0
"27",10026,2,2,2,24,1,3,1,4,480,60,0,80,0,495,0,0,0,NA,NA,NA,1,1,NA,3,2,2,1,2,"QC","Living common-law","Trade certificate or diploma",1
"28",10027,1,1,6,13,1,1,2,1,600,0,30,765,0,0,330,0,0,1,1,2,2,2,1,5,1,2,1,2,"NB","Single, never married","Less than high school dimploma or its equivalent",1
"29",10028,7,1,1,12,1,6,4,1,655,0,80,210,35,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,"NS","Married","Bachelor's degree",0
"30",10029,5,2,1,35,1,6,3,2,450,50,70,610,0,0,0,0,0,NA,2,2,2,2,NA,3,2,2,1,2,"ON","Married","Bachelor's degree",1
"31",10030,6,2,1,10,2,6,1,6,600,135,60,1005,15,0,0,0,0,NA,2,2,2,2,NA,8,2,1,1,1,"NL","Married","Bachelor's degree",1
"32",10031,7,2,1,59,1,NA,6,1,495,0,135,1035,0,0,0,0,0,NA,NA,NA,2,2,NA,8,2,2,1,2,"BC","Married",NA,0
"33",10032,2,1,6,47,1,4,1,3,450,30,61,891,40,549,0,0,0,NA,NA,NA,1,1,NA,7,1,2,2,2,"SK","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
"34",10033,3,2,1,59,1,NA,2,4,420,75,45,385,70,0,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,"BC","Married",NA,1
"35",10034,3,2,1,35,1,3,1,6,390,105,30,185,125,525,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1,"ON","Married","Trade certificate or diploma",1
"36",10035,4,2,1,24,1,4,2,3,420,70,20,150,90,455,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"QC","Married","College, CEGEP, or other non-university certificate or dimploma",1
"37",10036,3,1,2,24,2,6,1,6,435,0,45,75,30,720,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,"QC","Living common-law","Bachelor's degree",1
