PUMFID,AGEGR10,SEX,MARSTAT,PRV,LUC_RST,EHG_ALL,GTU_110,GTU_130,DUR01,DUR05,DUR06,DURS200,DURL313,DUR08,DUR13,DUR14,DUR15,MRW_20,MRW_30,MRW_40,MRW_D40A,MRW_D40B,EDM_02,TST_01,TCS_110,TCS_120,TCS_150,TCS_200
10000,5,1,5,46,1,3.0,1.0,1.0,510,60,120,770,90,0,0,0,0,,1.0,1.0,1,2,,8.0,2.0,2.0,2.0,2.0
10001,5,1,1,59,1,4.0,3.0,4.0,420,150,0,0,0,0,0,0,0,,2.0,1.0,1,2,,1.0,2.0,2.0,2.0,2.0
10002,4,2,1,47,1,5.0,1.0,6.0,570,0,0,630,30,480,0,0,0,,,,1,1,,7.0,2.0,1.0,1.0,1.0
10003,6,2,5,35,1,4.0,2.0,4.0,510,10,45,875,80,20,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
10004,2,1,6,35,1,,1.0,3.0,525,90,40,815,0,0,0,0,0,,,,2,2,,1.0,2.0,2.0,2.0,2.0
10005,1,1,6,35,1,1.0,1.0,6.0,435,0,0,430,40,530,0,0,0,,,,1,1,,2.0,2.0,1.0,1.0,2.0
10006,1,1,6,35,1,1.0,4.0,2.0,635,60,50,650,0,0,0,0,0,,2.0,1.0,1,2,,3.0,,2.0,2.0,2.0
10007,5,2,3,59,1,4.0,5.0,3.0,440,30,160,1200,60,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,1.0,2.0
10008,2,2,1,24,2,6.0,2.0,3.0,525,40,70,30,5,410,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
10009,6,1,3,46,1,3.0,6.0,2.0,540,20,120,1060,70,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
10010,3,2,1,11,3,6.0,2.0,4.0,480,50,20,10,10,441,0,0,0,,,,1,1,,2.0,2.0,2.0,2.0,2.0
10011,2,2,6,35,1,3.0,1.0,6.0,630,60,20,235,65,475,0,0,0,,,,1,1,,2.0,1.0,2.0,1.0,2.0
10012,2,2,1,35,2,7.0,1.0,2.0,390,0,50,90,90,480,0,0,0,,,,1,1,,2.0,2.0,2.0,1.0,2.0
10013,3,1,1,24,1,6.0,4.0,6.0,510,0,20,200,90,0,0,0,0,2.0,1.0,2.0,2,2,2.0,1.0,2.0,1.0,2.0,2.0
10014,2,2,1,35,1,4.0,2.0,6.0,500,75,45,270,150,0,0,0,0,,2.0,1.0,1,2,,2.0,2.0,2.0,2.0,1.0
10015,5,1,3,48,1,7.0,1.0,3.0,570,0,15,825,15,615,0,0,0,,,,1,1,,2.0,2.0,2.0,2.0,2.0
10016,7,1,1,46,2,7.0,6.0,6.0,660,60,0,1440,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
10017,4,1,1,35,1,6.0,2.0,4.0,480,60,120,180,45,0,0,0,0,,,,1,1,,1.0,1.0,2.0,1.0,2.0
10018,6,2,1,12,2,1.0,3.0,6.0,510,15,35,740,330,0,0,0,0,,,,1,1,,1.0,1.0,1.0,1.0,2.0
10019,2,1,1,59,1,2.0,2.0,5.0,480,30,30,630,30,600,0,0,0,,,,1,1,,4.0,1.0,2.0,2.0,2.0
10020,7,2,3,59,1,1.0,3.0,6.0,360,10,90,615,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
10021,5,2,1,12,1,6.0,6.0,1.0,660,0,50,640,0,0,0,0,0,,2.0,1.0,1,2,,8.0,2.0,2.0,2.0,2.0
10022,3,1,2,35,1,5.0,3.0,5.0,480,30,45,1425,230,315,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
10023,6,2,1,46,1,1.0,3.0,2.0,330,0,60,255,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,1.0,2.0,2.0
10024,4,2,6,59,1,4.0,1.0,6.0,545,15,90,770,100,0,0,0,0,,1.0,1.0,1,2,,8.0,2.0,2.0,1.0,1.0
10025,2,1,6,24,1,4.0,4.0,6.0,660,240,60,1440,0,0,0,0,0,,,,1,1,,7.0,2.0,2.0,2.0,2.0
10026,2,2,2,24,1,3.0,1.0,4.0,480,60,0,80,0,495,0,0,0,,,,1,1,,3.0,2.0,2.0,1.0,2.0
10027,1,1,6,13,1,1.0,2.0,1.0,600,0,30,765,0,0,330,0,0,1.0,1.0,2.0,2,2,1.0,5.0,1.0,2.0,1.0,2.0
